ingredient,is_vegan_friendly,not_vegan_reason,petroleum_oil_based,plant_oil_based,plant_oil_kind,mineral_based,plant_nonoil_based,animal_based,paraben_based,fragrance_based,is_synthetic,is_natural,function,proposed_risks,known_benefits,other_names,suflate_based,web,cunt
capric triglyceride,not,contain a mixture of glycerin,no,yes,coconut,no,no,yes,no,no,no,yes,emollient,no,hydration,"caprylic/ capric triglyceride, caprylic/capric acid triglyceride, caprylic/capric triglyceride, decanoic acid, ester with 1,2,3-propanetriol octanoate, decanoic acid, ester with 1,2,3-prpanetriol octanoate, decanonic acid, ester with 1,2,3-propanetriol octanoate, ester with 1,2,3-propanetriol octanoate decanoic acid, ester with 1,2,3-propanetriol octanoate decanonic acid, ester with 1,2,3-prpanetriol octanoate decanoic acid, glycerol calrylate caprinate, glycerol caprylate caprinate, octanoic/decanoic acid triglyceride",no,,
cetyl alcohol,maybe,maybe derived from animal oils,no ,yes,"coconut, palm",no,no,maybe,no,no,no,yes,emulsifier,no,hydration,"1-hexadecanol, cetanol, cetyl alcohol, hexadecan-1-ol, n-hexadecyl alcohol,palmityl alcohol",no,,
glycerin,not,mainly made from animal fats/ sometimes vegetable oil,no,yes,"coconut, palm, soybean",no,no,yes,no,no,no,yes,humectant,no,"hydration, anti-aging","1,2,3-propanetriol, 1,2,3-trihydroxypropane, 1,2,3propanetriol, concentrated glycerin, glycerin, glycerine, glycerol, glycyl alcohol, vegetable glycerin",no,,
propanediol,yes,,yes,no,,no,yes,no,no,no,yes,yes,solvent,no,hydration,"1,3-dihydroxypropane, 1,3-propylene glycol, 1,3propanediol, propane-1,3-diol, propanediol",no,,
hyaluronic acid,yes,,no,no,,no,no,no,no,no,yes,no,humectant,no,"anti-aging, hydration","hyaluronan, hyaluronic acid",no,,
glycolic acid,yes,,no,no,,no,yes,no,no,no,no,yes,exfoliant,no,"anti-aging, evens skin tone, smooths bumpy skin","acetic acid, hydroxy, acetic acid, hydroxy-, glycolic acid, glycolic alpha-hydroxy acid, glycollic acid, hydroxy- acetic acid, hydroxyacetic acid, hydroxyethanoic acid",no,,
salicylic acid,yes,,no,no,,no,yes,no,no,no,yes,yes,"exfoliant, humecant",no,"anti-acne, anti-aging, blackhead reducing","2-hydroxy- benzoic acid, 2-hydroxybenzoic acid, benzoic acid, 2-hydroxy-, benzoic acid, 2hydroxy, o-carboxyphenol, o-hydroxybenzoic acid, phenol-2-carboxylic acid",no,,
niacinamide,yes,,no,no,,no,yes,no,no,no,no,yes,"emollient, humectant, antioxidant",no,"anti-aging, pore minimizer, soothing","3-aminopyridine, 3-carbamoylpyridine, 3-pyridinecarboxamide, 3pyridinecarboxamide, m-(aminocarbonyl)pyridine, niacinamide, nicotinamide, nicotninic acid amide",no,,
homosalate,yes,,no,no,,no,no,no,no,no,yes,no,"UV filter, solvent",no,anti-aging,"2-hydroxy- 3,3,5-trimethylcyclohexyl ester benzoic acid, 3,3,5-trimethyl- salicylate cyclohexanol, 3,3,5-trimethylcyclohexyl 2-hydroxybenzoate, 3,3,5-trimethylcyclohexyl ester benzoic acid, 2-hydroxy-, 3,3,5-trimethylcyclohexyl salicylate, benzoic acid, 2-hydroxy-, 3,3,5-trimethylcyclohexyl ester, benzoic acid, 2hydroxy, 3,3,5trimethylcyclohexyl ester, caswell no. 482b, ccris 4885, coppertone, cyclohexanol, 3,3,5-trimethyl-, salicylate, einecs 204-260-8, epa pesticide chemical code 076603, filtersol ''a'', heliopan, heliophan, hom, homomenthyl salicylate, homosalate, homosalato, homosalatum, m-homomenthyl salicylate, metahomomenthyl salicylate, nsc 164918, salicylate cyclohexanol, 3,3,5-trimethyl-, salicylic acid, 3,3,5-trimethylcyclohexyl ester (8ci), salicylic acid, m-homomenthyl ester",no,,
propylparaben,yes,,no,no,,no,no,no,yes,yes,yes,no,perservative,yes,,"4-hydroxy- propyl ester benzoic acid, 4-hydroxybenzoic acid, propyl ester, 4-hydroxybenzoic acid, propyl ester, sodium salt, benzoic acid, 4-hydroxy-, propyl ester, benzoic acid, 4-hydroxy-, propyl ester, sodium salt, benzoic acid, 4hydroxy, propyl ester, benzoic acid, 4hydroxy, propyl ester, sodium salt, polyparaben, potassium propylparaben, potassium salt propylparaben, propyl 4-hydroxybenzoate, propyl ester 4-hydroxybenzoic acid, propyl ester benzoic acid, 4-hydroxy-, propyl ester sodium salt 4-hydroxybenzoic acid, propyl ester sodium salt benzoic acid, 4-hydroxy-, propyl p-hydroxybenzoate, propyl p-hydroxybenzoate sodium salt, propyl paraben, propyl parahydroxybenzoate, propylparaben, propylparaben, potassium salt, propylparaben, sodium salt, sodium 4-propoxycarbonylphenoxide, sodium propylparaben, sodium salt 4-hydroxybenzoic acid, propyl ester, sodium salt benzoic acid, 4-hydroxy-, propyl ester, sodium salt propylparaben",no,"EWG Skin Deep: https://www.ewg.org/skindeep/ingredients/705335-PROPYLPARABEN/, Science Direct: https://www.sciencedirect.com/science/article/pii/S0273230021000763, Eurpoean Comission: https://health.ec.europa.eu/system/files/2022-08/sccs_o_243.pdf",EU
